Name,Points,Season
Paris Saint-Germain,"2,51",2019-2020
Olympique Marsiglia,2,2019-2020
Rennes,"1,78",2019-2020
Lilla,"1,75",2019-2020
Nizza,"1,46",2019-2020
Stade Reims,"1,46",2019-2020
Olympique Lione,"1,42",2019-2020
Montpellier,"1,42",2019-2020
Monaco,"1,42",2019-2020
Strasburgo,"1,40",2019-2020
Angers,"1,39",2019-2020
Bordeaux,"1,32",2019-2020
Nantes,"1,32",2019-2020
Brest,"1,21",2019-2020
Metz,"1,21",2019-2020
Digione,"1,07",2019-2020
Saint-Étienne,"1,07",2019-2020
Nîmes,"0,96",2019-2020
Amiens,"0,82",2019-2020
Tolosa,"0,46",2019-2020
Lilla,83,2020-2021
Paris Saint-Germain,82,2020-2021
Monaco,78,2020-2021
Olympique Lione,76,2020-2021
Olympique Marsiglia,60,2020-2021
Rennes,58,2020-2021
Lens,57,2020-2021
Montpellier,54,2020-2021
Nizza,52,2020-2021
Metz,47,2020-2021
Saint-Étienne,46,2020-2021
Bordeaux,45,2020-2021
Angers,44,2020-2021
Stade Reims,42,2020-2021
Strasburgo,42,2020-2021
Lorient,42,2020-2021
Brest,41,2020-2021
Nantes,40,2020-2021
Nîmes,35,2020-2021
Digione,21,2020-2021
Paris Saint-Germain,86,2021-2022
Olympique Marsiglia,71,2021-2022
Monaco,69,2021-2022
Rennes,66,2021-2022
Nizza(-1),66,2021-2022
Strasburgo,63,2021-2022
Lens,62,2021-2022
Olympique Lione(-1),61,2021-2022
Nantes,55,2021-2022
Lilla,55,2021-2022
Brest,48,2021-2022
Stade Reims,46,2021-2022
Montpellier,43,2021-2022
Angers,41,2021-2022
Troyes,38,2021-2022
Lorient,36,2021-2022
Clermont Foot,36,2021-2022
Saint-Étienne,32,2021-2022
Metz,31,2021-2022
Bordeaux,31,2021-2022
Paris Saint-Germain,85,2022-2023
Lens,84,2022-2023
Olympique Marsiglia,73,2022-2023
Rennes,68,2022-2023
Lilla,67,2022-2023
Monaco,65,2022-2023
Olympique Lione,62,2022-2023
Clermont Foot,59,2022-2023
Nizza,58,2022-2023
Lorient,55,2022-2023
Stade Reims,51,2022-2023
Montpellier,50,2022-2023
Tolosa,48,2022-2023
Brest,44,2022-2023
Strasburgo,40,2022-2023
Nantes,36,2022-2023
Auxerre,35,2022-2023
Ajaccio,26,2022-2023
Troyes,24,2022-2023
Angers,18,2022-2023
Paris Saint-Germain,76,2023-2024
Monaco,67,2023-2024
Brest,61,2023-2024
Lilla,59,2023-2024
Nizza,55,2023-2024
Olympique Lione,53,2023-2024
Lens,51,2023-2024
Olympique Marsiglia,50,2023-2024
Stade Reims,47,2023-2024
Rennes,46,2023-2024
Tolosa,43,2023-2024
Montpellier(-1),41,2023-2024
Strasburgo,39,2023-2024
Nantes,33,2023-2024
Le Havre,32,2023-2024
Metz,29,2023-2024
Lorient,29,2023-2024
Clermont Foot,25,2023-2024
