Name,Points,Season
Liverpool,99,2019-2020
Manchester City,81,2019-2020
Manchester Utd,66,2019-2020
Chelsea,66,2019-2020
Leicester City,62,2019-2020
Tottenham,59,2019-2020
Wolverhampton,59,2019-2020
Arsenal,56,2019-2020
Sheffield Utd,54,2019-2020
Burnley,54,2019-2020
Southampton,52,2019-2020
Everton,49,2019-2020
Newcastle Utd,44,2019-2020
Crystal Palace,43,2019-2020
Brighton,41,2019-2020
West Ham Utd,39,2019-2020
Aston Villa,35,2019-2020
Bournemouth,34,2019-2020
Watford,34,2019-2020
Norwich City,21,2019-2020
Manchester City,86,2020-2021
Manchester Utd,74,2020-2021
Liverpool,69,2020-2021
Chelsea,67,2020-2021
Leicester City,66,2020-2021
West Ham Utd,65,2020-2021
Tottenham,62,2020-2021
Arsenal,61,2020-2021
Leeds Utd,59,2020-2021
Everton,59,2020-2021
Aston Villa,55,2020-2021
Newcastle Utd,45,2020-2021
Wolverhampton,45,2020-2021
Crystal Palace,44,2020-2021
Southampton,43,2020-2021
Brighton,41,2020-2021
Burnley,39,2020-2021
Fulham,28,2020-2021
West Bromwich,26,2020-2021
Sheffield Utd,23,2020-2021
Manchester City,93,2021-2022
Liverpool,92,2021-2022
Chelsea,74,2021-2022
Tottenham,71,2021-2022
Arsenal,69,2021-2022
Manchester Utd,58,2021-2022
West Ham Utd,56,2021-2022
Leicester City,52,2021-2022
Brighton,51,2021-2022
Wolverhampton,51,2021-2022
Newcastle Utd,49,2021-2022
Crystal Palace,48,2021-2022
Brentford,46,2021-2022
Aston Villa,45,2021-2022
Southampton,40,2021-2022
Everton,39,2021-2022
Leeds Utd,38,2021-2022
Burnley,35,2021-2022
Watford,23,2021-2022
Norwich City,22,2021-2022
Manchester City,89,2022-2023
Arsenal,84,2022-2023
Manchester Utd,75,2022-2023
Newcastle Utd,71,2022-2023
Liverpool,67,2022-2023
Brighton,62,2022-2023
Aston Villa,61,2022-2023
Tottenham,60,2022-2023
Brentford,59,2022-2023
Fulham,52,2022-2023
Crystal Palace,45,2022-2023
Chelsea,44,2022-2023
Wolverhampton,41,2022-2023
West Ham Utd,40,2022-2023
Bournemouth,39,2022-2023
Nottingham Forest,38,2022-2023
Everton,36,2022-2023
Leicester City,34,2022-2023
Leeds Utd,31,2022-2023
Southampton,25,2022-2023
Manchester City,91,2023-2024
Arsenal,89,2023-2024
Liverpool,82,2023-2024
Aston Villa,68,2023-2024
Tottenham,66,2023-2024
Chelsea,63,2023-2024
Newcastle Utd,60,2023-2024
Manchester Utd,60,2023-2024
West Ham Utd,52,2023-2024
Crystal Palace,49,2023-2024
Brighton,48,2023-2024
Bournemouth,48,2023-2024
Fulham,47,2023-2024
Wolverhampton,46,2023-2024
Everton(-8),40,2023-2024
Brentford,39,2023-2024
Nottingham Forest(-4),32,2023-2024
Luton Town,26,2023-2024
Burnley,24,2023-2024
Sheffield Utd,16,2023-2024
