Name,Points,Season
Juventus,87,2014-2015
Roma,70,2014-2015
Lazio,69,2014-2015
Fiorentina,64,2014-2015
Napoli,63,2014-2015
Genoa,59,2014-2015
Sampdoria,56,2014-2015
Inter,55,2014-2015
Torino,54,2014-2015
Milan,52,2014-2015
Palermo,49,2014-2015
Sassuolo,49,2014-2015
Verona,46,2014-2015
Chievo,43,2014-2015
Empoli,42,2014-2015
Udinese,41,2014-2015
Atalanta,37,2014-2015
Cagliari,34,2014-2015
Cesena,24,2014-2015
Parma,19,2014-2015
Juventus,91,2015-2016
Napoli,82,2015-2016
Roma,80,2015-2016
Inter,67,2015-2016
Fiorentina,64,2015-2016
Sassuolo,61,2015-2016
Milan,57,2015-2016
Lazio,54,2015-2016
Chievo,50,2015-2016
Empoli,46,2015-2016
Genoa,46,2015-2016
Torino,45,2015-2016
Atalanta,45,2015-2016
Bologna,42,2015-2016
Sampdoria,40,2015-2016
Palermo,39,2015-2016
Udinese,39,2015-2016
Carpi,38,2015-2016
Frosinone,31,2015-2016
Verona,28,2015-2016
Juventus,91,2016-2017
Roma,87,2016-2017
Napoli,86,2016-2017
Atalanta,72,2016-2017
Lazio,70,2016-2017
Milan,63,2016-2017
Inter,62,2016-2017
Fiorentina,60,2016-2017
Torino,53,2016-2017
Sampdoria,48,2016-2017
Cagliari,47,2016-2017
Sassuolo,46,2016-2017
Udinese,45,2016-2017
Chievo,43,2016-2017
Bologna,41,2016-2017
Genoa,36,2016-2017
Crotone,34,2016-2017
Empoli,32,2016-2017
Palermo,26,2016-2017
Pescara,18,2016-2017
Juventus,95,2017-2018
Napoli,91,2017-2018
Roma,77,2017-2018
Inter,72,2017-2018
Lazio,72,2017-2018
Milan,64,2017-2018
Atalanta,60,2017-2018
Fiorentina,57,2017-2018
Torino,54,2017-2018
Sampdoria,54,2017-2018
Sassuolo,43,2017-2018
Genoa,41,2017-2018
Chievo,40,2017-2018
Udinese,40,2017-2018
Bologna,39,2017-2018
Cagliari,39,2017-2018
SPAL,38,2017-2018
Crotone,35,2017-2018
Verona,25,2017-2018
Benevento,21,2017-2018
Juventus,90,2018-2019
Napoli,79,2018-2019
Atalanta,69,2018-2019
Inter,69,2018-2019
Milan,68,2018-2019
Roma,66,2018-2019
Torino,63,2018-2019
Lazio,59,2018-2019
Sampdoria,53,2018-2019
Bologna,44,2018-2019
Sassuolo,43,2018-2019
Udinese,43,2018-2019
SPAL,42,2018-2019
Parma,41,2018-2019
Cagliari,41,2018-2019
Fiorentina,41,2018-2019
Genoa,38,2018-2019
Empoli,38,2018-2019
Frosinone,25,2018-2019
Chievo,17,2018-2019
Juventus,83,2019-2020
Inter,82,2019-2020
Atalanta,78,2019-2020
Lazio,78,2019-2020
Roma,70,2019-2020
Milan,66,2019-2020
Napoli,62,2019-2020
Sassuolo,51,2019-2020
Verona,49,2019-2020
Fiorentina,49,2019-2020
Parma,49,2019-2020
Bologna,47,2019-2020
Udinese,45,2019-2020
Cagliari,45,2019-2020
Sampdoria,42,2019-2020
Torino,40,2019-2020
Genoa,39,2019-2020
Lecce,35,2019-2020
Brescia,25,2019-2020
SPAL,20,2019-2020
Inter,91,2020-2021
Milan,79,2020-2021
Atalanta,78,2020-2021
Juventus,78,2020-2021
Napoli,77,2020-2021
Lazio,68,2020-2021
Roma,62,2020-2021
Sassuolo,62,2020-2021
Sampdoria,52,2020-2021
Verona,45,2020-2021
Genoa,42,2020-2021
Bologna,41,2020-2021
Fiorentina,40,2020-2021
Udinese,40,2020-2021
Spezia,39,2020-2021
Cagliari,37,2020-2021
Torino,37,2020-2021
Benevento,33,2020-2021
Crotone,23,2020-2021
Parma,20,2020-2021
Milan,86,2021-2022
Inter,84,2021-2022
Napoli,79,2021-2022
Juventus,70,2021-2022
Lazio,64,2021-2022
Roma,63,2021-2022
Fiorentina,62,2021-2022
Atalanta,59,2021-2022
Verona,53,2021-2022
Torino,50,2021-2022
Sassuolo,50,2021-2022
Udinese,47,2021-2022
Bologna,46,2021-2022
Empoli,41,2021-2022
Sampdoria,36,2021-2022
Spezia,36,2021-2022
Salernitana,31,2021-2022
Cagliari,30,2021-2022
Genoa,28,2021-2022
Venezia,27,2021-2022
Napoli,90,2022-2023
Lazio,74,2022-2023
Inter,72,2022-2023
Milan,70,2022-2023
Atalanta,64,2022-2023
Roma,63,2022-2023
Juventus,62,2022-2023
Fiorentina,56,2022-2023
Bologna,54,2022-2023
Torino,53,2022-2023
Monza,52,2022-2023
Udinese,46,2022-2023
Sassuolo,45,2022-2023
Empoli,43,2022-2023
Salernitana,42,2022-2023
Lecce,36,2022-2023
Verona,31,2022-2023
Spezia,31,2022-2023
Cremonese,27,2022-2023
Sampdoria,19,2022-2023
Inter,94,2023-2024
Milan,75,2023-2024
Juventus,71,2023-2024
Atalanta,69,2023-2024
Bologna,68,2023-2024
Roma,63,2023-2024
Lazio,61,2023-2024
Fiorentina,60,2023-2024
Torino,53,2023-2024
Napoli,53,2023-2024
Genoa,49,2023-2024
Monza,45,2023-2024
Verona,38,2023-2024
Lecce,38,2023-2024
Udinese,37,2023-2024
Cagliari,36,2023-2024
Empoli,36,2023-2024
Frosinone,35,2023-2024
Sassuolo,30,2023-2024
Salernitana,17,2023-2024
