Name,sum_points
Ajaccio,26.0
Le Havre,32.0
Auxerre,35.0
Nancy,35.0
Gazélec Ajaccio,37.0
Évian TG,37.0
Amiens,83.0
Nîmes,88.0
Troyes,113.0
Clermont Foot,120.0
Bastia,131.0
Digione,141.0
Brest,195.0
Metz,207.0
Caen,208.0
Guingamp,217.0
Strasburgo,272.0
Lens,283.0
Angers,287.0
Lorient,287.0
Tolosa,292.0
Stade Reims,325.0
Bordeaux,345.0
Saint-Étienne,377.0
Nantes,409.0
Montpellier,443.0
Rennes,501.0
Nizza,531.0
Lilla,540.0
Olympique Marsiglia,573.0
Olympique Lione,610.0
Monaco,627.0
Paris Saint-Germain,781.0
