Name,sum_points
Luton Town,26
Middlesbrough,28
QPR,30
Cardiff City,34
Huddersfield Town,53
Hull City,69
Nottingham Forest,70
Norwich City,77
Sheffield Utd,93
Sunderland,101
Leeds Utd,128
Brentford,144
Fulham,153
Swansea City,177
Stoke City,182
West Bromwich,189
Watford,233
Bournemouth,298
Wolverhampton,299
Aston Villa,319
Brighton,319
Burnley,319
Southampton,404
Newcastle Utd,434
Crystal Palace,453
Leicester City,479
Everton,481
West Ham Utd,500
Manchester Utd,685
Chelsea,686
Tottenham,686
Arsenal,713
Liverpool,779
Manchester City,861
