Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
0,1,2,1,200.0,673,38.0,7629.0,0,0,203478000.0
0,1,2,1,97.0,555,35.0,8250.0,0,0,199452000.0
0,1,2,1,124.0,340,31.0,9000.0,1,0,149589000.0
0,1,2,0,0.0,245,25.0,7414.0,0,0,74157000.0
1,1,2,1,70.0,221,24.0,9415.0,0,0,48467000.0
0,1,1,0,93.0,377,31.0,7488.0,1,0,40977000.0
0,1,2,1,87.0,392,30.0,7750.0,0,0,35864000.0
0,1,1,1,70.0,367,32.0,7500.0,1,0,29918000.0
0,1,2,1,53.0,361,32.0,8000.0,1,0,25624000.0
0,1,0,0,81.0,378,28.0,7495.0,0,0,24931000.0
0,1,2,0,29.0,353,29.0,7500.0,1,0,24931000.0
0,1,2,1,41.0,281,26.0,7500.0,0,0,24835000.0
0,1,2,1,22.0,324,29.0,7500.0,1,0,24791000.0
1,1,1,1,105.0,462,33.0,7770.0,1,0,24233000.0
0,1,2,0,77.0,444,33.0,7253.0,1,0,22741000.0
1,1,2,1,21.0,327,30.0,8864.0,1,0,22733000.0
1,1,1,1,101.0,393,31.0,8043.0,1,0,22438000.0
0,1,0,1,61.0,281,26.0,7750.0,1,0,21940000.0
1,1,2,1,84.0,375,30.0,9247.0,1,0,21940000.0
1,1,2,1,166.0,591,37.0,8578.0,1,0,21740000.0
1,1,2,0,82.0,352,28.0,8158.0,1,0,21225000.0
1,1,0,0,89.0,401,31.0,9325.0,1,0,21225000.0
1,1,2,1,24.0,136,20.0,8946.0,1,0,20743000.0
1,1,2,1,23.0,195,23.0,9063.0,0,0,20743000.0
1,1,0,1,25.0,190,23.0,9406.0,1,0,20619000.0
1,1,2,1,99.0,427,32.0,9503.0,0,0,20619000.0
0,1,2,0,55.0,434,31.0,7010.0,1,0,20020000.0
0,0,2,1,175.0,619,36.0,10000.0,1,0,19087000.0
1,1,0,1,56.0,394,30.0,8591.0,1,0,18518000.0
0,1,0,1,8.0,272,28.0,7008.0,0,0,18364000.0
1,1,2,1,10.0,174,25.0,8100.0,0,0,18193000.0
1,1,2,1,71.0,357,31.0,7892.0,1,0,18193000.0
1,1,2,0,53.0,241,25.0,8003.0,0,0,18193000.0
1,1,1,1,142.0,538,35.0,8922.0,1,0,17951000.0
0,1,2,0,2.0,237,26.0,7299.0,0,0,17951000.0
1,1,1,1,53.0,234,27.0,8501.0,1,0,17649000.0
1,1,1,1,79.0,287,28.0,8745.0,0,0,17452000.0
1,1,1,1,120.0,480,33.0,7879.0,0,0,17452000.0
0,1,0,1,83.0,393,32.0,7750.0,1,0,17286000.0
1,1,1,1,116.0,501,37.0,8100.0,0,0,16953000.0
1,1,2,0,23.0,163,23.0,7200.0,1,0,16677000.0
1,1,2,1,32.0,280,27.0,8289.0,0,0,16374000.0
1,1,2,1,41.0,215,24.0,8019.0,1,0,15956000.0
1,1,2,1,33.0,164,27.0,8285.0,1,0,15956000.0
1,1,2,1,66.0,487,31.0,7937.0,0,0,15945000.0
0,1,0,1,42.0,307,28.0,8000.0,0,0,15646000.0
1,1,2,1,102.0,444,31.0,9050.0,1,0,15394000.0
1,1,2,0,16.0,147,23.0,8155.0,0,0,15161000.0
1,1,2,1,30.0,260,27.0,6789.0,0,0,15161000.0
1,1,2,1,82.0,345,29.0,9058.0,0,0,15161000.0
1,1,2,1,43.0,208,24.0,8890.0,0,0,15161000.0
1,1,2,0,28.0,139,21.0,8921.0,0,0,15161000.0
1,1,2,1,57.0,346,28.0,8582.0,0,0,15161000.0
1,1,1,1,41.0,220,28.0,7811.0,0,0,14959000.0
1,1,2,1,49.0,200,27.0,8100.0,1,0,14959000.0
0,1,2,1,14.0,267,28.0,7495.0,1,0,14959000.0
1,1,2,1,93.0,308,30.0,8026.0,1,0,14858000.0
1,1,2,0,48.0,223,26.0,8759.0,0,0,14772000.0
1,1,2,1,58.0,363,32.0,8943.0,0,0,14555000.0
1,1,1,1,60.0,314,30.0,8339.0,1,0,14460000.0
1,1,2,1,78.0,303,29.0,8192.0,1,0,14360000.0
