Name,Salary
 Kylian Mbappé - French         ," €48,467,000 p/a  "
 - -                            ," €15,956,000 p/a  "
 - -                            ," €14,360,000 p/a  "
 - -                            ," €14,360,000 p/a  "
 - -                            ," €14,231,000 p/a  "
 - -                            ," €12,664,000 p/a  "
 - -                            ," €11,967,000 p/a  "
 - -                            ," €10,948,000 p/a  "
 - -                            ," €10,471,000 p/a  "
 - -                            ," €9,973,000 p/a   "
 - -                            ," €9,387,000 p/a   "
 - -                            ," €9,100,000 p/a   "
 - -                            ," €7,779,000 p/a   "
 - -                            ," €7,123,000 p/a   "
 - -                            ," €6,481,000 p/a   "
 - -                            ," €6,480,000 p/a   "
 - -                            ," €6,232,000 p/a   "
 - -                            ," €5,936,000 p/a   "
 - -                            ," €5,936,000 p/a   "
 - -                            ," €5,560,000 p/a   "
 - -                            ," €5,550,000 p/a   "
 - -                            ," €5,385,000 p/a   "
 - -                            ," €5,385,000 p/a   "
 - -                            ," €4,986,000 p/a   "
 - -                            ," €4,940,000 p/a   "
 - -                            ," €4,787,000 p/a   "
 - -                            ," €4,787,000 p/a   "
 - -                            ," €4,752,000 p/a   "
 - -                            ," €4,680,000 p/a   "
 - -                            ," €4,587,000 p/a   "
 - -                            ," €4,488,000 p/a   "
 - -                            ," €4,000,000 p/a   "
 - -                            ," €3,889,000 p/a   "
 - -                            ," €3,859,000 p/a   "
 - -                            ," €3,848,000 p/a   "
 - -                            ," €3,729,000 p/a   "
 - -                            ," €3,710,000 p/a   "
 - -                            ," €3,639,000 p/a   "
 - -                            ," €3,590,000 p/a   "
 - -                            ," €3,590,000 p/a   "
 - -                            ," €3,590,000 p/a   "
 - -                            ," €3,590,000 p/a   "
 - -                            ," €3,490,000 p/a   "
 - -                            ," €3,470,000 p/a   "
 - -                            ," €3,351,000 p/a   "
 - -                            ," €3,351,000 p/a   "
 - -                            ," €3,146,000 p/a   "
 - -                            ," €3,120,000 p/a   "
 - -                            ," €3,120,000 p/a   "
 - -                            ," €3,111,000 p/a   "
 - -                            ," €2,992,000 p/a   "
 - -                            ," €2,992,000 p/a   "
 - -                            ," €2,893,000 p/a   "
 - -                            ," €2,862,000 p/a   "
 - -                            ," €2,827,000 p/a   "
 - -                            ," €2,775,000 p/a   "
 - -                            ," €2,652,000 p/a   "
 - -                            ," €2,593,000 p/a   "
 - -                            ," €2,476,000 p/a   "
 - -                            ," €2,380,000 p/a   "
 - -                            ," €2,262,000 p/a   "
 - -                            ," €2,242,000 p/a   "
 - -                            ," €2,159,000 p/a   "
 - -                            ," €2,154,000 p/a   "
 - -                            ," €2,154,000 p/a   "
 - -                            ," €2,153,000 p/a   "
 - -                            ," €2,128,000 p/a   "
 - -                            ," €2,123,000 p/a   "
 - -                            ," €2,123,000 p/a   "
 - -                            ," €2,090,000 p/a   "
 - -                            ," €2,085,000 p/a   "
 - -                            ," €2,080,000 p/a   "
 - -                            ," €2,080,000 p/a   "
 - -                            ," €2,080,000 p/a   "
 - -                            ," €2,040,000 p/a   "
 - -                            ," €1,964,000 p/a   "
 - -                            ," €1,909,000 p/a   "
 - -                            ," €1,868,000 p/a   "
 - -                            ," €1,861,000 p/a   "
 - -                            ," €1,861,000 p/a   "
 - -                            ," €1,819,000 p/a   "
 - -                            ," €1,819,000 p/a   "
 - -                            ," €1,796,000 p/a   "
 - -                            ," €1,795,000 p/a   "
 - -                            ," €1,795,000 p/a   "
 - -                            ," €1,794,000 p/a   "
 - -                            ," €1,794,000 p/a   "
